Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %;
1;0;100;16;100;0;100;16;100;0;100;15;100
2;0;100;30;100;0;100;30;100;0;100;30;100
3;0;100;44;100;0;100;44;100;0;100;45;100
4;0;100;59;100;0;100;58;100;0;100;59;100
5;0;100;73;100;0;100;72;100;0;100;73;100
6;1;100;89;100;0;100;87;100;0;100;88;100
7;2;100;103;100;0;100;102;100;1;100;102;100
8;5;100;118;100;1;100;117;100;3;100;116;100
9;7;100;132;100;2;100;131;100;5;100;130;100
10;14;100;147;100;3;100;146;100;9;100;148;100
11;22;100;161;100;5;100;161;100;15;100;166;100
12;28;100;179;100;8;100;180;100;21;100;181;100
13;36;100;193;100;11;100;195;100;28;100;196;100
14;50;100;209;100;16;100;209;100;41;100;213;100
15;63;100;224;100;22;100;224;100;52;100;228;100
16;74;100;239;100;27;100;239;100;62;100;244;100
17;86;100;254;100;33;100;257;100;74;100;259;100
18;103;100;269;100;41;100;271;100;90;100;274;100
19;132;100;283;100;50;100;286;100;117;100;290;100
20;151;100;298;100;60;100;301;100;136;100;305;100
21;226;100;313;100;71;100;315;100;207;100;320;100
22;251;100;328;100;83;100;329;100;231;100;335;100
23;278;100;342;100;96;100;344;100;258;100;350;100
24;353;100;357;100;112;100;361;100;329;100;366;100
25;403;100;374;100;129;100;376;100;378;100;381;100
26;438;100;389;100;146;100;391;100;411;100;397;100
27;498;100;404;100;166;100;407;100;469;100;413;100
28;590;100;419;100;189;100;422;100;558;100;428;100
29;642;100;434;100;215;100;437;100;607;100;444;100
30;695;100;449;100;241;100;452;100;659;100;460;100
31;777;100;465;100;269;100;467;100;738;100;475;100
32;837;100;480;100;299;100;482;100;796;100;491;100
33;937;100;496;100;332;100;498;100;894;100;506;100
34;1090;100;511;100;359;100;513;100;1042;100;522;100
35;1212;100;527;100;400;100;528;100;1161;100;538;100
36;1329;100;542;100;438;100;544;100;1276;100;554;100
80;2071;100;558;100;686;100;559;100;2009;100;570;100
100;3913;100;575;100;1150;100;575;100;3829;100;588;100
120;5328;100;592;100;1858;100;591;100;5242;100;605;100
160;7982;100;611;100;3180;100;607;100;7852;100;623;100
