Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;14;100;0;100;13;100;0;100;14;100
2;0;100;28;100;0;100;26;100;0;100;27;100
3;0;100;41;100;0;100;39;100;0;100;41;100
4;1;100;54;100;0;100;52;100;0;100;54;100
5;2;100;68;100;0;100;66;100;0;100;68;100
6;5;100;81;100;2;100;79;100;0;100;82;100
7;10;100;94;100;6;100;93;100;2;100;96;100
8;16;100;108;100;10;100;106;100;6;100;110;100
9;29;100;121;100;16;100;119;100;18;100;125;100
10;87;100;136;100;23;100;133;100;42;100;139;100
11;127;100;150;100;37;100;147;100;51;100;153;100
12;145;100;163;100;50;100;160;100;60;100;168;100
13;170;100;178;100;66;100;174;100;89;100;182;100
14;207;100;191;100;90;100;188;100;152;100;196;100
15;279;100;206;100;115;100;202;100;182;100;211;100
16;357;100;220;100;142;100;216;100;307;100;226;100
17;402;100;234;100;173;100;230;100;360;100;241;100
18;453;100;248;100;210;100;244;100;419;100;256;100
19;557;100;262;100;258;100;259;100;742;100;271;100
20;633;100;277;100;308;100;274;100;968;100;287;100
21;736;100;291;100;369;100;288;100;1242;100;303;100
22;915;100;306;100;427;100;303;100;1366;100;320;100
23;1018;100;321;100;499;100;317;100;1534;100;336;100
24;1198;100;336;100;584;100;331;100;2157;100;352;100
25;1541;100;351;100;667;100;346;100;2459;100;371;100
26;1816;100;365;100;762;100;360;100;3507;100;388;100
27;2325;100;380;100;865;100;375;100;5012;100;408;100
28;2734;100;395;100;973;100;389;100;5805;100;427;100
29;2905;100;410;100;1091;100;404;100;6261;100;444;100
30;3207;100;425;100;1224;100;418;100;7788;100;461;100
31;3426;100;440;100;1375;100;433;100;8374;100;478;100
32;3872;100;455;100;1531;100;448;100;8951;100;498;100
33;4829;100;470;100;1693;100;463;100;12659;100;521;100
34;5205;100;487;100;1878;100;478;100;14758;100;539;100
35;5953;100;503;100;2074;100;496;100;16230;100;561;100
36;6732;100;518;100;2278;100;511;100;19386;100;583;100
80;8649;100;534;100;3556;100;526;100;29259;100;606;100
100;11950;100;551;100;5760;100;543;100;46579;100;636;100
120;17097;100;570;100;9050;100;561;100;72422;100;672;100
160;26769;100;591;100;15715;100;580;100;98575;100;721;100
