Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;17;100;0;100;17;100;0;100;17;100
2;0;100;35;100;0;100;34;100;0;100;35;100
3;0;0;52;0;0;0;52;0;0;0;53;0
4;0;0;70;0;0;0;69;10;0;0;70;0
5;0;0;87;0;0;0;87;0;0;0;88;0
6;7;100;104;100;5;100;105;100;1;100;106;100
7;8;0;122;0;5;0;122;0;2;0;124;0
8;15;0;139;0;6;0;140;0;8;0;142;0
9;34;100;157;100;19;100;158;100;16;100;160;100
10;38;0;175;0;21;0;176;0;19;0;178;0
11;47;0;193;0;23;0;193;0;28;0;197;0
12;56;0;210;0;26;0;211;0;36;0;215;0
13;68;0;228;0;29;0;229;0;46;0;233;0
14;141;100;246;100;78;100;247;100;109;100;251;100
15;157;0;265;0;84;0;265;0;124;0;270;0
16;184;0;283;0;104;5;283;0;146;0;288;0
17;200;0;301;0;111;0;301;0;160;0;306;0
18;233;0;319;0;119;0;319;0;191;0;325;0
19;287;0;337;0;167;20;337;5;243;0;343;0
20;335;0;355;0;176;0;355;0;288;0;361;0
21;378;0;373;0;187;0;373;0;329;0;380;0
22;763;100;392;100;318;100;391;100;619;100;401;100
23;818;0;410;0;332;0;410;0;674;0;420;0
24;894;0;429;0;348;0;427;0;746;0;439;0
25;944;0;447;0;365;0;446;0;794;0;458;0
26;982;0;466;0;384;0;464;0;830;0;477;0
27;1042;0;484;0;404;0;482;0;889;0;496;0
28;1134;0;502;0;427;0;501;0;978;0;515;0
29;1181;0;520;0;450;0;520;0;1023;0;534;0
30;1235;0;539;0;477;0;538;0;1075;0;553;0
31;1372;0;558;0;505;0;557;0;1207;0;572;0
32;1432;0;576;0;536;0;575;0;1266;0;593;0
33;1533;0;595;0;569;0;594;0;1364;0;613;0
34;1688;0;613;0;596;0;613;0;1515;0;633;0
35;1811;0;632;0;637;0;631;0;1634;0;652;0
36;1928;0;651;0;676;0;650;0;1749;0;671;0
80;2687;0;674;0;931;0;669;0;2499;0;691;0
100;4596;0;697;0;1415;0;689;0;4370;0;712;0
120;6052;0;717;0;2142;0;709;0;5818;0;733;0
160;8762;0;737;0;3502;0;729;0;8513;0;755;0
