Len;MR(C) T[ms];MR(C) %;MR(P) T[ms];MR(P) %;F(C) T[ms];F(C) %;F(P) T[ms];F(P) %;MRD(C) T[ms];MRD(C) %;MRD(P) T[ms];MRD(P) %
1;0;100;14;100;0;100;14;100;0;100;15;100
2;0;100;29;100;0;100;28;100;0;100;30;100
3;1;100;44;100;0;100;43;100;0;100;45;100
4;2;100;59;100;0;100;58;100;0;100;60;100
5;5;100;74;100;0;100;73;100;0;100;75;100
6;12;100;89;100;4;100;88;100;0;100;90;100
7;24;100;104;100;12;100;103;100;2;100;106;100
8;36;100;120;100;21;100;119;100;6;100;121;100
9;62;100;135;100;34;100;134;100;18;100;138;100
10;185;100;152;100;50;100;151;100;44;100;154;100
11;270;100;168;100;79;100;167;100;53;100;171;100
12;306;100;184;100;106;100;182;100;62;100;187;100
13;357;100;200;100;140;100;199;100;91;100;203;100
14;433;100;220;100;191;100;215;100;154;100;219;100
15;575;100;236;100;241;100;233;100;184;100;235;100
16;725;100;252;100;295;100;249;100;308;100;252;100
17;821;100;268;100;358;100;264;100;361;100;269;100
18;928;100;283;100;431;100;280;100;422;100;286;100
19;1138;100;299;100;527;100;296;100;747;100;303;100
20;1281;100;315;100;628;100;312;100;975;100;320;100
21;1465;100;331;100;748;100;329;100;1245;100;337;100
22;1800;100;348;100;863;100;344;100;1369;100;356;100
23;2017;100;364;100;1005;100;361;100;1535;100;374;100
24;2374;100;381;100;1172;100;377;100;2154;100;392;100
25;3026;100;397;100;1335;100;392;100;2452;100;412;100
26;3597;100;414;100;1525;100;409;100;3499;100;431;100
27;4538;100;431;100;1728;100;425;100;5002;100;452;100
28;5367;100;448;100;1942;100;441;100;5794;100;474;100
29;5709;100;465;100;2177;100;458;100;6244;100;492;100
30;6318;100;482;100;2444;100;475;100;7847;100;513;100
31;6751;100;498;100;2750;100;492;100;8439;100;532;100
32;7676;100;518;100;3066;100;513;100;9018;100;554;100
33;9568;100;536;100;3389;100;530;100;12624;100;579;100
34;10328;100;554;100;3750;100;547;100;14687;100;600;100
35;11844;100;572;100;4130;100;564;100;16110;100;623;100
36;13378;100;590;100;4528;100;580;100;19165;100;646;100
80;17154;100;608;100;6993;100;598;100;28915;100;671;100
100;23394;100;629;100;11299;100;618;100;45837;100;702;100
120;32941;100;652;100;17668;100;638;100;71412;100;739;100
160;52619;100;680;100;30759;100;663;100;98352;100;791;100
